Player Name,Ranking
Brian Elliott Phi - G,191
Mark Stone Ott - RW,192
Kyle Okposo Buf - RW,193
Ondrej Palat TB - LW,194
Alexander Edler Van - D,195
Curtis McElhinney Tor - G,196
"Conor Sheary Buf - LW,RW",197
Radko Gudas Phi - D,198
Brent Seabrook Chi - D,199
Josh Bailey NYI - RW,200
